"corporate_id","corporate_code","corporate_name","type","created_by","created_date","kelompok_usaha","jenis_perusahaan","bidang_usaha","bentuk_perusahaan","tempat_pendirian","legalitas","no_legalitas","tanggal_terbit","tanggal_kadaluarsa","akta_pendirian","tanggal_aktapendirian","akta_perubahan","tanggal_aktaperubahan","npwp","alamat","kodepos","kelurahan","kecamatan","kota","propinsi","telepon","facsimile","email","keterangan","limit_rupiah","limit_valas","limit_total","max_user","booking_office","pemrakarsa","rekening","nama_rekening","status","abonemen","cif_perusahaan","approval_mode","approval_checker_count","approval_signer_count"
"00016",MJU,CV. Maju Jaya Utama,CLIENT,"00037","2015-10-12 11:03:04",Mikro,"","","","","","","","","","","","","","","","","","","","","","","","500,000.00","","5","5","","","",,ACTIVE,"",,SINGLE,1,1
"00017",PTAR,PT. ANGIN RIBUT,CLIENT,"00001","2015-10-12 14:41:47","","","","","","","","","","","","","","","","","","","","","","","","","150,000,000.00","","200,000,000.00","5","0010","0010003","",,ACTIVE,"",,SINGLE,1,1
"00018",SWZ,SCHWARTZ,CLIENT,"00001","2016-01-05 10:07:25","","","","","","","","","","","","","","","","","","","","","","","","","10,000,000.00","","","","","","001001212121301",,AUTHORIZED,"125,000.00",,SINGLE,1,1
"00019",LZ,LAZADA,CLIENT,"00001","2016-01-05 17:05:40",Korporasi,PT,BELANJA ONLINE,Badan Hukum,"",SIUP,"","2012-12-03","2018-12-03",SIUP.03.12.2012,"2012-12-03","","","03122012",JL. HR RASUNA SAID,"12810",TEBET BARAT,TEBET,JAKARTA SELATAN,DKI JAKARTA,"0219876543","",andari.purnamasari@briagro.co.,"","100000000.00","","500000000.00","5","",KPO BRI AGRO,"001001859652305",,ACTIVE,"150000.00",,SINGLE,1,1
"00021",IND,Indomaret,CLIENT,"00055","2016-01-14 13:46:06",Ritel,"","",Badan Hukum,"","","","","","","","","","","","","","","","","","","","","100000000.00","","500000000.00","5","","","001001125623308",,ACTIVE,"150000.00",,SINGLE,1,1
"00022",ZAL,ZALORA,CLIENT,"00001","2016-02-02 16:19:58",Ritel,"",ritel,"","","","","","","","","","","","","","","","","","","","","","100000000.00","","500000000.00","5","","","001001252623305",,ACTIVE,"150000.00",,SINGLE,1,1
"00023",SAP,PT SURYA ADI PRATAMA,CLIENT,"00001","2016-02-02 16:39:43",Korporasi,"",KEBUN SAWIT,Badan Hukum,JAKARTA,SIUP,"008","2015-09-09","2015-09-17","008","2015-09-09","01/09/2010","2010-09-01","897033445",JL WIDYA KESUMA,"11140","","","","","","","","","100000000.00","","500000000.00","5","0010","","001001023516305",,ACTIVE,"150000.00",,SINGLE,1,1
"00024",BRI,BRI ,CLIENT,"00001","2016-02-29 11:23:56",Ritel,"","","","","","","","","","","","","","","","","","","","","","","","100000000.00","","500000000.00","5","","","001001021545305",,ACTIVE,"150000.00",,SINGLE,1,1
"00025",APP,APPLE,CLIENT,"00001","2016-02-29 11:37:23","","","","","","","","","","","","","","","","","","","","","","","","","100000000.00","","500000000.00","5","","","001001021655302",,ACTIVE,"150000.00",,SINGLE,1,1
"00027",KOBRA,KOBRA,CLIENT,"00001","2016-02-29 14:50:26","","","","","","","","","","","","","","","","","","","","","","","","","15000000.00","","100000000.00","","","","001001000003302",,ACTIVE,"150000.00",,SINGLE,1,1
"00030",SEV,SEVEL,CLIENT,"00001","2016-04-05 10:58:32",Ritel,"","","","","","","","","","","","","","","","","","","","","","","","100000000.00","","1000000000.00","10","0340 - Community Branch Magelang","","001201001366318",KIRILL ANTONOVI,ACTIVE,"0.00","0000121458",SINGLE,1,1
"00037",AGROJAYA,AGROJAYA,CLIENT,"00001","2016-11-01 13:57:37",Ritel,"","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","1000000000.00","10","","","001001000098303","",ACTIVE,"150000.00",,SINGLE,1,1
"00038",WCO,Winnie Co,CLIENT,"00001","2016-11-03 18:29:02",Ritel,PT,Mainan Anak,Badan Hukum,Jakarta,Ijin Usaha,"1234567890","2010-11-01","2026-11-01",AKT-0123456789,"2009-11-01","","","123456789012345",Jakarta Selatan,"12950",Kuningan Timur,Setia Budi,Jakarta Selatan,DKI Jakarta,"02178841432","02178841433",admin@winnie.co.id,"","10000000.00","","1000000000.00","5","0020 - JAKARTA CIK DITIRO",TITO CYKA BLYAT,"001001000320409",TITO TRI PAMUNGKAS ,AUTHORIZED,"150000.00","0000001611",MULTIPLE,1,3
"00039",MJP,PT. Mangun Jaya Pertiwi,CLIENT,"00001","2016-11-08 11:44:00",Korporasi,"",Penjualan Karung,Badan Hukum,"",Lainnya,"","1992-11-04","","24","","","","","","","","","","","","","","","1000000.00","","10000000.00","5",KPO,Div. Bisnis AGRO,"001001000722300",DIAN APRILIA TIKASARI ,ACTIVE,"150000.00",,SINGLE,1,1
"00040",ABC,PT.ABC,CLIENT,"00001","2016-11-09 15:51:00",Korporasi,"","","","","","","","","","","","","","","","","","","","","","","","250000000.00","","1000000000.00","100","","","001001000098303","",ACTIVE,"150000.00",,SINGLE,1,1
"00042",GHI,PT. GHI,CLIENT,"00001","2016-11-10 14:22:01",Korporasi,PT,Jasa STNK,Non Badan Hukum,Depok,Ijin Usaha,"","","","","","","","","","","","","","","","","","","150000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00043",JKL,PT. JKL,CLIENT,"00001","2016-11-10 14:21:50",Korporasi,PT,INVESTIGASI,Badan Hukum,Tangerang,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","3000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00044",MNO,PT. MNO,CLIENT,"00001","2016-11-10 14:21:39",Korporasi,PT,EVENT ORGANIZER,Badan Hukum Asing,BEKASI,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00045",PQR,PT.PQR,CLIENT,"00001","2016-11-10 14:21:31",Korporasi,PT,KARGO,Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00046",STU,PT.STU,CLIENT,"00001","2016-11-10 14:21:20",Korporasi,PT,PENJUALAN,Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00047",VWX,PT. VWX,CLIENT,"00001","2016-11-10 14:21:10",Korporasi,PT,JASA,Non Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,CLOSED,"150000.00",,SINGLE,1,1
"00048",YZA,PT. YZA,CLIENT,"00001","2016-11-11 09:00:06",Korporasi,PT,LEASING,Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00049",YZB,PT. YZB,CLIENT,"00001","2016-11-11 08:59:58",Korporasi,PT,MEUBEL,Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00050",YZC,PT. YZC,CLIENT,"00001","2016-11-11 08:59:51",Korporasi,PT,KOPRASI,Non Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00051",YZD,PT. YZD,CLIENT,"00001","2016-11-11 08:59:43",Korporasi,PT,JASA PERPANJANG STNK,Non Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00052",YZE,PT. YZE,CLIENT,"00001","2016-11-11 08:59:34",Korporasi,PT,BANK,Badan Hukum,JAKARTA,SIUP,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00053",YZF,PT. YZF,CLIENT,"00001","2016-11-11 08:59:21",Korporasi,PT,BANK,Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,ACTIVE,"150000.00",,SINGLE,1,1
"00054",YZG,PT. YZG,CLIENT,"00001","2016-11-11 08:59:13",Korporasi,PT,BANK,Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,SUSPENDED,"150000.00",,SINGLE,1,1
"00055",DEF,PT. DEF,CLIENT,"00001","2016-11-11 10:09:43",Korporasi,PT,BANK,Badan Hukum,JAKARTA,Ijin Usaha,"","","","","","","","","","","","","","","","","","","200000000.00","","2000000000.00","10",KPO,"","001001000098303",EKO SARMO DIANTO N ,CLOSED,"150000.00",,SINGLE,1,1
"00056",PTCM,PT. Cemerlang,CLIENT,"00001","2016-12-15 11:55:10",Korporasi,"","","","","","","","","","","","","","","","","","","","","","","","10000000.00","","100000000.00","5","1310 - PEKANBARU",Fulan,"001001000098303",EKO SARMO DIANTO N ,CLOSED,"150000.00",,SINGLE,1,1
"00058",KALONG,KALONG,CLIENT,"00001","2017-02-03 15:28:35",Korporasi,"","","","","","","","","","","","","","","","","","","","","","","","1000000.00","","5000000000000.00","","","","001001000098303",EKO SARMO DIANTO N ,CLOSED,"150000.00",,SINGLE,1,1
"00060",ANUGERAH,ANUGERAH,CLIENT,"00001","2017-02-03 15:43:53","","","","","","","","","","","","","","","","","","","","","","","","","10000000.00","","100000000.00","","","","000401554646464",ERROR,CLOSED,"150000.00",,SINGLE,1,1
"00061",mdn,Dendhy,CLIENT,"00001","2017-02-22 11:39:33",Korporasi,PT,Otomotif,Non Badan Hukum,"",Lainnya,"","","","","","","","","","","","","","","","","","","100000000.00","","1000000000000.00","5","","","001001004077309",MAS DENDHY NUGROHO QQ ,ACTIVE,"150000.00",,SINGLE,1,1
"00065",SEMARANG,BRI AGRO SEMARANG,CLIENT,"00037","2017-09-08 17:47:42",Korporasi,PT,"","","","","","","","","","","","","","","","","","","","","","","1000000.00","","1000000.00","10","","","131001003134303",HUTAHAEAN.PT ,ACTIVE,"100000.00","0000047906",SINGLE,1,1
"00066",PEKANBARU,PEKANBARU,CLIENT,"00037","2017-09-12 09:04:09",Korporasi,"","","","","","","","","","","","","","","","","","","","","","","","100000.00","","100000.00","5","","","131001003334303",ERROR,ACTIVE,"150000.00","0000047906",SINGLE,1,1
"00067",Benhul, Benhul,CLIENT,"00037","2017-09-13 15:00:49",Korporasi,PT,Perdagangan,Badan Hukum,"",SIUP,"","2012-09-13","","","","","","","","","","","","","","","","","50000.00","","100000.00","5","0410 - SURABAYA",FTB,"031001002548103",ERROR,ACTIVE,"150000.00","0000107055",SINGLE,1,1
"00068",BERLIN,BERLIN LAMPUNG,CLIENT,"00037","2017-09-14 09:54:30",Korporasi,PT,TERNAK,Badan Hukum,LAMPUNG,SIUP,"12.02.11115.22","2016-09-13","2018-09-13","91","1991-02-02","","","11111122333",LAMPUNG,"34152",Badran Sari,Punggur,Lampung Tengah,Lampung,"02177788891","0218887695",BERLIUN@JOSS.CO.ID,APPROVE,"100000.00","","100000.00","5","1710 - LAMPUNG",DIVISI FUNDING & TRANSACTION BANKING,"021401241120456",ERROR,ACTIVE,"0.00","9901016083",SINGLE,1,1
"00069",MEDAN,CMS CABANG MEDAN,CLIENT,"00037","2018-02-05 16:29:01",Korporasi,"","","","","","","","","","","","","","","","","","","","","","","","10000.00","","10000.00","5","","","131001001184302",HARANGAN WILMAR HUTAHAEAN ,AUTHORIZED,"0.00","0000047906",SINGLE,1,1
"00070",KNG,CMS KUNINGAN,CLIENT,"00037","2017-10-26 10:55:05",Korporasi,"","","","","","","","","","","","","","","","","","","","","","","","100000.00","","100000.00","10","","","000001000000404",ERROR,ACTIVE,"0.00","0000047906",SINGLE,1,1
"00071",AGRO RANTAU,CMS KC RANTAU PRAPAT,CLIENT,"00037","2017-10-31 16:55:02","","","","","","","","","","","","","","","","","","","","","","","","","10000.00","","10000.00","","","","001001110101101",ERROR,ACTIVE,"100.00","0000047906",SINGLE,1,1
"00072",CMS BANDUNG,CMS BANDUNG,CLIENT,"00037","2018-01-15 18:47:10","","","","","","","","","","","","","","","","","","","","","","","","","0.00","","0.00","10","","","001001101010101",ERROR,ACTIVE,"0.00","0000103563",SINGLE,1,1
"00073",CMS SBY,CMS SURABAYA,CLIENT,"00037","2018-01-15 19:03:23","","","","","","","","","","","","","","","","","","","","","","","","","0.00","","0.00","10","","","001001101001100",ERROR,ACTIVE,"0.00","0000030831",SINGLE,1,1
"00074",CMS SOLO,CMS KC SOLO,CLIENT,"00037","2018-01-22 18:06:26","","","","","","","","","","","","","","","","","","","","","","","","","0.00","","0.00","10","","","022001021530405",ERROR,ACTIVE,"0.00","0000047906",SINGLE,1,1
"00075",KC0010,KANCA UTAMA,CLIENT,"00055","2018-02-05 16:21:20","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA UTAMA,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"100000.00","0000118429",SINGLE,1,1
"00076",KC0020,KANCA KUNINGAN,CLIENT,"00055","2018-02-05 16:21:54","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA KUNINGAN,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00077",KCP0021,KANCAPEM KEBAYORAN,CLIENT,"00055","2018-02-05 16:22:25","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM KEBAYORAN,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00078",KCP0022,KANCAPEM JAMSOSTEK,CLIENT,"00055","2018-02-05 16:22:44","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM JAMSOSTEK,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00079",KCP0026,KANCAPEM KELAPA GADING,CLIENT,"00055","2018-02-05 16:22:55","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM KELAPA GADING,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00080",KCP0031,KANCAPEM HARAPAN INDAH,CLIENT,"00055","2018-02-05 16:23:08","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM HARAPAN INDAH,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00081",KCP0029,KANCAPEM CIKDITIRO,CLIENT,"00055","2018-02-05 16:23:16","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM CIKDITIRO,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00082",KC0110,KANCA BANDUNG,CLIENT,"00055","2018-02-05 16:23:24","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA BANDUNG,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00083",KC0120,KANCA BOGOR,CLIENT,"00055","2018-02-05 16:23:31","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA BOGOR,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00084",KCP0027,KANCAPEM DEPOK,CLIENT,"00055","2018-02-05 16:23:38","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM DEPOK,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00085",KK0023,KK DEPTAN,CLIENT,"00055","2018-02-05 17:35:59","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KK DEPTAN,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00086",KC0130,KANCA CIKARANG,CLIENT,"00055","2018-02-05 17:39:41","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA CIKARANG,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00087",KCP0025,KANCAPEM BEKASI,CLIENT,"00055","2018-02-05 17:39:31","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM BEKASI,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00088",KC0310,KANCA SEMARANG,CLIENT,"00055","2018-02-05 17:39:25","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA SEMARANG,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00089",KCP0311,KANCAPEM BANYUMANIK,CLIENT,"00055","2018-02-05 17:39:17","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM BANYUMANIK,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00090",KC0320,KANCA SOLO,CLIENT,"00055","2018-02-05 17:39:01","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA SOLO,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00091",KC0410,KANCA SURABAYA,CLIENT,"00055","2018-02-05 17:38:54","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA SURABAYA,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00092",KCP0411,KANCAPEM SIDOARJO,CLIENT,"00055","2018-02-05 17:38:48","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM SIDOARJO,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00093",KCP0412,KANCAPEM GRESIK,CLIENT,"00055","2018-02-05 17:38:41","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM GRESIK,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00094",KC0510,KANCA BINTARO,CLIENT,"00055","2018-02-05 17:38:32","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA BINTARO,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00095",KCP0024,KANCAPEM TANGERANG,CLIENT,"00055","2018-02-05 17:38:24","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","50000000.00","10",KANCAPEM TANGERANG,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00096",KCP0028,KANCAPEM CIPUTAT,CLIENT,"00055","2018-02-05 17:38:17","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM CIPUTAT,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00097",KC1110,KANCA MEDAN,CLIENT,"00055","2018-02-05 17:38:09","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA MEDAN,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00098",KCP1111,KANCAPEM MEDAN ARH,CLIENT,"00055","2018-02-05 17:38:03","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM MEDAN ARH,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00099",KCP1112,KANCAPEM TEBING TINGGI,CLIENT,"00055","2018-02-05 17:37:56","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM TEBING TINGGI,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00100",KCP1121,KANCAPEM PEMATANG SIANTAR,CLIENT,"00055","2018-02-05 17:37:49","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM PEMATANG SIANTAR,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00101",KC1120,KANCA RANTAU PRAPAT,CLIENT,"00055","2018-02-05 17:37:40","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA RANTAU PRAPAT,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00102",KC1310,KANCA PEKANBARU,CLIENT,"00055","2018-02-05 17:37:34","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCA PEKANBARU,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00103",KCP1311,KANCAPEM KASIKAN,CLIENT,"00055","2018-02-05 17:37:27","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM KASIKAN,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
"00104",KCP1312,KANCAPEM LUBUK DALAM,CLIENT,"00055","2018-02-05 17:37:21","","","","","","","","","","","","","","","","","","","","","","","","","500000000.00","","500000000.00","10",KANCAPEM LUBUK DALAM,"","001001000338402",PT ANEKA BUAH CITRA DOMESTIK ,ACTIVE,"150000.00","0000118429",SINGLE,1,1
